year,release_date,title,genre,international_box_office,production_budget,Movie_ID
2000,January 1st,bakha satang,Drama,"76576,00",,1
2000,January 28th,santitos,,,,3
2000,December 31st,chiedimi se sono felice,Comedy,,,17328
2000,December 29th,raju chacha,,,,17329
2000,December 29th,shadow of the vampire,Drama,,"8000000,00",17330
2000,December 29th,khiladi 420,,,,17331
2000,December 29th,the claim,Western,"753612,00","13000000,00",17332
2000,December 27th,traffic,Drama,"84192524,00","48000000,00",17333
2000,December 29th,chunhyang,Drama,,,17334
2000,December 22nd,vatel,,,,17335
2000,December 22nd,thirteen days,Drama,"31987801,00","80000000,00",17336
2000,December 22nd,state and main,Comedy,"2261808,00",,17346
2000,December 22nd,o brother where art thou,Comedy,"30257195,00","26000000,00",17690
2000,December 22nd,o brother where art thou,Comedy,"30257195,00","26000000,00",32043
2000,December 22nd,miss congeniality,Comedy,"106613284,00","45000000,00",17692
2000,December 22nd,the house of mirth,Drama,"2107328,00","10000000,00",17693
2000,December 22nd,malena,Drama,,,17694
2000,December 22nd,nowhere to hide,,,,6242
2017,June 23rd,nowhere to hide,Documentary,,,6242
2000,December 22nd,the family man,Comedy,"48951778,00","60000000,00",17695
2000,December 22nd,an everlasting piece,Comedy,,"4000000,00",17696
2000,December 22nd,dracula 2000,Horror,,"28000000,00",17697
2000,December 22nd,cast away,Adventure,"193598374,00","85000000,00",17698
2000,December 22nd,before night falls,Drama,"4281642,00",,17699
2000,December 19th,the gift,Thriller/Suspense,"32558964,00","10000000,00",7143
2015,August 7th,the gift,Thriller/Suspense,"15191212,00","5000000,00",7143
2000,December 22nd,all the pretty horses,Western,"2593142,00","45000000,00",17700
2000,December 19th,finding forrester,Drama,"28245000,00","43000000,00",17701
2000,December 15th,voyages,,,,17702
2000,December 15th,the visit,Drama,"11529548,00",,6082
2015,September 11th,the visit,Horror,"33471711,00","5000000,00",6082
2000,December 15th,tuvalu,,,,17703
2000,December 15th,south of heaven west of hell,Western,,,17704
2000,December 15th,pollock,Drama,"1960377,00","6000000,00",17705
2000,December 15th,what women want,Romantic Comedy,"191300000,00","65000000,00",17706
2000,December 15th,dude where s my car,Comedy,"26450923,00","13000000,00",17707
2000,December 15th,chocolat,Drama,"81190583,00","25000000,00",14450
2016,February 3rd,chocolat,Drama,"16136718,00",,14450
2000,December 15th,the emperor s new groove,Adventure,"80000000,00","100000000,00",17713
2000,December 8th,vertical limit,Thriller/Suspense,"145026640,00","75000000,00",18017
2000,December 8th,spring forward,,,,18018
2000,December 8th,proof of life,Action,"30162074,00","65000000,00",18020
2000,December 8th,snatch,Black Comedy,"53500000,00","10000000,00",18021
2000,December 8th,dungeons and dragons,Adventure,"18586724,00","35000000,00",18022
2000,December 8th,boys life 3,Drama,,,18024
2000,December 8th,the day silence died,,,,18025
2000,December 8th,mr accident,,,,18026
2000,December 8th,the art of am lia,Documentary,,,18027
2000,December 1st,poor white trash,,,,18028
2000,December 8th,crouching tiger hidden dragon,Action,"85446864,00","15000000,00",18029
2000,December 8th,crouching tiger hidden dragon,Action,"85446864,00","15000000,00",30666
2000,December 1st,panic,Drama,"646570,00","1000000,00",18030
2000,December 1st,yana s friends,,,,18031
2000,December 1st,my father s angel,,,,18032
2000,December 1st,l homme nu,Comedy,,,18033
2000,December 1st,moon shadow,,,,18034
2000,November 24th,way down town,,,,18035
2000,November 24th,peut etre,,,,18036
2000,December 1st,a e,Comedy,,,18037
2000,November 22nd,the weekend,Drama,,,12173
2013,August 13th,the weekend,Comedy,,,12173
2019,September 13th,the weekend,Romantic Comedy,,,12173
2000,November 24th,passionnement,,,,18039
2000,November 22nd,unbreakable,Thriller/Suspense,"153100000,00","73243106,00",18042
2019,December 5th,unbreakable,Drama,"34696,00",,18042
2000,November 22nd,the trench,,,,18370
2000,November 22nd,quills,Drama,"4671212,00","13500000,00",18373
2000,November 22nd,102 dalmatians,Adventure,,"85000000,00",18375
2000,November 17th,what s cooking,Drama,"659244,00",,18376
2000,November 17th,one day in september,,,,18377
2000,November 17th,kahi pyar na ho jaye,,,,18378
2000,November 17th,rugrats in paris,Adventure,"26783375,00","30000000,00",18379
2000,November 17th,sade,,,,18380
2000,November 17th,lies,,,,18381
2000,November 17th,harem suare,Drama,,,18382
2000,November 17th,how the grinch stole christmas,Adventure,"85096578,00","123000000,00",18383
