Movie_ID	metascore	RelDate
15211	70	2011/6/1
29944	70	2011/6/1
17228	76	2016/3/11
29945	54	2006/12/1
10790	61	2012/9/14
13243	63	2013/6/28
2073	44	2017/1/13
29946	57	2014/10/24
19084	34	2008/3/7
29947	34	2008/3/7
18255	75	2015/7/10
29948	75	2015/7/10
13278	65	2015/5/8
29949	68	2001/7/25
18375	35	2000/11/22
18208	36	2006/8/18
29950	36	2006/8/18
34302	36	2006/8/18
29951	71	2013/2/22
29952	51	2016/4/8
34085	62	2017/11/3
19718	72	2009/3/4
29954	54	2013/11/15
34163	54	2013/11/15
24911	63	2020/10/2
28804	44	2021/6/11
18490	68	2014/1/31
29955	68	2014/1/31
19104	38	2009/3/27
15747	54	2018/1/19
10377	96	2013/10/18
29956	77	2007/6/6
12902	82	2010/11/5
10917	29	2011/10/28
29957	84	2011/4/29
20941	57	2004/4/23
16484	48	2016/1/15
29958	48	2016/1/15
25807	58	2017/6/30
15241	44	2014/4/18
18901	61	2006/7/28
3338	83	2016/10/7
29959	50	2014/8/22
18618	64	2007/6/22
21929	34	2001/3/9
21374	63	2006/3/3
29960	57	2005/3/18
18437	48	2009/4/17
29715	81	2019/11/1
29961	61	2012/9/21
29962	37	2011/10/7
22286	78	2019/12/25
29963	70	2017/10/20
1834	73	2017/11/1
29964	73	2015/2/6
1743	71	2018/10/26
29965	56	2020/4/24
29966	75	2014/6/6
15318	61	2012/8/10
29967	67	2007/8/10
19935	38	2003/6/6
12421	55	2013/8/2
29968	38	2013/10/18
29969	74	2007/1/24
29970	58	2006/10/27
13808	83	2013/6/14
11104	83	2014/9/17
29971	83	2014/9/17
13413	49	2009/11/13
12199	26	2012/7/13
29972	26	2012/7/13
17294	78	2005/8/5
24906	39	2020/10/2
794	83	2016/12/28
18406	48	2008/3/28
17823	34	2013/3/1
22617	51	2019/11/22
16239	70	2003/11/21
16800	69	2012/3/16
8958	51	2014/11/7
29973	51	2014/11/7
6470	21	2018/6/8
29974	69	2018/10/10
13482	71	2014/6/13
9291	45	2014/10/24
17382	75	2009/6/5
29975	59	2015/4/24
18502	42	2014/1/24
29976	77	2018/2/2
20290	85	2002/8/9
29977	47	2006/1/19
17849	68	2002/12/19
20235	47	2008/1/18
21852	46	2000/4/14
19646	73	2003/6/27
9338	50	2012/11/9
19565	78	2007/5/11
12112	55	2011/9/16
29978	77	2015/6/19
10011	51	2012/10/12
29979	51	2012/10/12
18110	69	2011/3/11
13158	36	2011/8/12
29980	36	2011/8/12
33656	36	2011/8/12
29981	46	2005/9/2
17455	40	2014/2/21
29982	78	2019/3/8
29983	47	2017/5/5
29984	56	2015/3/13
29985	72	2005/4/29
34403	72	2005/4/29
15004	48	2006/12/1
22114	11	2000/3/1
11987	20	2012/7/20
14819	53	2007/10/19
13163	49	2011/8/12
20856	52	2007/3/9
17104	48	2014/3/7
29986	48	2014/3/7
22007	21	2001/2/23
2819	66	2018/9/28
4181	35	2016/10/21
16148	76	2007/9/7
29987	76	2007/9/7
14375	33	2013/5/17
29988	92	2009/9/16
15018	43	2012/8/3
16191	56	2005/11/23
20840	72	2006/4/7
29989	73	2017/8/4
29990	97	2008/1/23
21870	53	2002/3/1
4829	68	2018/8/3
29991	68	2018/8/3
15644	62	2013/4/12
20023	47	2010/1/15
16069	54	2012/3/23
29992	54	2012/3/23
6520	94	2015/12/23
19137	88	2010/6/18
7398	52	2017/6/16
24066	43	2019/8/16
29993	43	2019/8/16
9164	28	2013/12/25
16788	84	2006/10/6
29994	43	2016/2/5
13266	78	2012/5/25
13152	31	2011/8/19
9898	55	2015/5/8
29995	41	2011/11/4
12008	52	2015/4/3
21943	48	2004/2/13
29996	76	2009/7/17
11710	72	2011/9/30
29997	72	2011/9/30
16406	77	2006/10/18
12235	71	2015/3/27
19492	83	2013/1/4
29998	62	2005/6/10
29999	66	2018/4/6
4684	36	2017/8/18
13258	31	2012/6/1
16377	28	2013/4/5
30000	41	2019/12/11
22561	89	2019/11/27
29361	53	2020/11/16
30001	53	2020/11/16
30002	65	2005/5/20
30003	72	2014/2/7
6515	56	2015/8/28
10689	49	2018/3/16
30004	74	2002/9/6
8072	35	2015/6/26
30005	80	2021/11/5
17197	83	2015/2/27
30006	71	2005/10/26
12921	58	2020/6/18
23584	84	2020/12/4
2374	74	2017/10/13
30007	74	2017/10/13
18551	77	2002/11/8
16333	55	2010/6/18
30008	55	2010/6/18
21505	64	2002/9/20
30009	64	2002/9/20
30010	64	2002/9/20
21505	36	2000/5/26
30009	36	2000/5/26
30010	36	2000/5/26
30011	51	2004/10/29
17717	17	2008/4/18
14895	60	2009/9/9
30012	21	2003/10/17
20543	43	2005/7/22
6081	28	2015/9/11
20838	46	2006/4/7
14705	51	2012/4/27
5638	76	2015/9/25
11549	59	2013/9/6
30013	59	2013/9/6
17025	68	2009/6/19
30014	68	2009/6/19
1622	42	2017/11/1
14126	50	2012/5/11
30015	55	2018/3/23
13239	77	2013/6/28
22612	80	2019/11/22
30016	13	2009/10/2
18315	72	2001/12/21
14580	64	2011/6/24
3500	74	2016/5/4
16373	61	2014/3/21
30017	61	2014/3/21
15335	73	2015/6/26
