Movie_ID	title	runtime	theatre_count
1	bakha satang (s korea)	129.0	
2	antitrust		2433.0
3	santitos	105.0	
4	frank mcklusky c i		
5	walk to remember a		2411.0
6	zig zag		1.0
7	takhte siah		5.0
8	angry monk reflections on tibet the		1.0
9	30 years to life		1.0
10	killing of john lennon the		1.0
11	mad money	104.0	2470.0
12	little chenier		17.0
13	over her dead body	95.0	1977.0
14	ano em que meus pais sairam de ferias o	103.0	18.0
15	120 (turkey)	114.0	
16	other boleyn girl the	115.0	1166.0
17	lawyer walks into a bar a		1.0
18	rondine la	106.0	
19	jodaeiye nader az simin	123.0	3.0
20	pariah (2011)	86.0	4.0
21	war horse	146.0	2376.0
22	habemus papam	104.0	3.0
23	ivan tsarevich i seryy volk	75.0	
24	sicario room 164 el	80.0	
25	extremely loud and incredibly close	129.0	6.0
26	angels crest	96.0	1.0
27	paranormal xperience 3d (spain) (2011)	90.0	
28	darkest hour the	89.0	2324.0
29	miss minoes		3.0
30	we bought a zoo	124.0	3117.0
31	minuscule la vallee des fourmis perdues (france)	89.0	
32	kiseki	128.0	5.0
33	in the land of blood and honey		3.0
34	prince of the himalayas		
35	don 2	148.0	161.0
36	we are the giant	90.0	2.0
37	wang pai (china)(2014)	90.0	
38	young kieslowski the (2015)	96.0	
39	last cab to darwin (australia)	123.0	1.0
40	cong cong na nian (china)(2014)	119.0	
41	ghadi (lebanon)	100.0	
42	fair play (cz) (2014)	100.0	
43	meru	89.0	7.0
44	station to station	70.0	1.0
45	karachi se lahore		
46	atrapa la bandera		
47	alma		
48	boca juniors 3d la pelicula		
49	life of josutty (india)	166.0	
50	welcome to leith	86.0	1.0
51	eso que llaman amor (argentina) (2015)		
52	man who saved the world the	110.0	
53	yuan ling ren ou (china)(2014)	90.0	
54	hip hop eration (new zealand) (2015)	93.0	
55	kleine ziege sturer bock (germany) (2015)	95.0	
56	vesvese cin tuzagi (turkey) (2015)	92.0	
57	truth (2015)	125.0	6.0
58	geunomida (south korea) (2015)	109.0	
59	wo shi zheng ren	112.0	40.0
60	sarancha (russia) (2015)	124.0	
61	hamoni	119.0	3.0
62	dobbiamo parlare		
63	600 millas		
64	hot sugars cold world	85.0	
65	hell and back	84.0	411.0
66	rajini murugan		
67	histoire de fou une (france)	134.0	
68	point break (remake)	113.0	2910.0
69	desu noto light up the new world (japan)	135.0	
70	disturbing the peace	83.0	2.0
71	star wars ep vii the force awakens	136.0	4134.0
72	doctor who the power of the daleks (uk)		
73	grand jeu le (france) (2015)	99.0	
74	bellas de noche (mexico)	92.0	
75	revenant the (2015)	156.0	4.0
76	unmarried wife the (philippines) (2016)	130.0	
77	sha mo zhi xin (china) (2016)	95.0	
78	poveri ma ricchi (italy)		
79	nuo lietuvos nepabegsi (lithuania)		
80	somewhere connected (china) (2016)		
81	peor de los deseos lo (bolivia) (2018)	93.0	
82	pere fils therapie (france)	92.0	
83	di qiu zui hou de ye wang (china) (2018)	133.0	3.0
84	doktor martin zahada v beskydech (cz)(2018)	90.0	
85	battle of tortoise and rabbit (china) (2018)	83.0	
86	alibaba the three golden hair (china)(2018)		
87	duan pian er (china)(2018)	114.0	
88	yun nan chong gu yunnan valley (china) (2018)	110.0	17.0
89	two small pigs brave the mysterious island (china) (2018)	80.0	
90	trolled (2018)	92.0	
91	tiempo despues (spain) (2018)	95.0	
92	stan and ollie (2018)	98.0	5.0
93	work wife the (2018)	86.0	
94	tarp musu mergaiciu (lithuania)(2018)	90.0	
95	trilece (turkey) (2018)	104.0	
96	rio mekong (argentina) (2018)	60.0	
97	simmba (india) (2018)	158.0	301.0
98	pech to nie grzech (poland) (2018)	82.0	
99	musaadenizle buyukler (turkey) (2018)	100.0	
100	most beautiful season the (china) (2018)	108.0	
101	shou ji kuang xiang (china)(2018)	90.0	
102	one shot (argentina) (2018)	84.0	
103	konna yofuke ni banana kayo kanashiki jitsuwa (japan) (2018)	120.0	
104	njan prakashan (india)(2018)	131.0	
105	minha vida em marte (brazil) (2018)	110.0	
106	k g f chapter 1 (india)(2018)	156.0	
107	kleine drache kokosnuss auf in den dschungel der (germany) (2018)	80.0	
108	jeombaki hanbandoeui gongryong 2 saeroun nakwon (south korea) (2018)	94.0	
109	chef (turkey) (2018)	98.0	
110	benji (uae) (2018)	87.0	
111	t34 (russia)(2018)	75.0	
112	boru (turkey) (2018)	126.0	
113	junge muss an die frische luft der (germany)(2018)	100.0	
114	yolki posledniye (russia)(2018)	96.0	
115	cuando brillan las estrellas (argentina) (2018)		
116	au bout des doigts (france) (2018)	105.0	
117	violent desir de bonheur un (france) (2018)	75.0	
118	befana vien di notte la (italy) (2018)	98.0	
119	pmc deo beong keo (south korea) (2018)	119.0	
120	moschettieri del re la penultima missione (italy) (2018)	109.0	
121	mult v kino vypusk no 87 (russia) (2018)		
122	homme fidele l (france) (2018)	75.0	1.0
123	perfectos desconocidos (mexico) (2018)	97.0	132.0
124	zerk (turkey) (2018)	110.0	
125	destroyer (2018)	123.0	3.0
126	zero (india) (2018)	164.0	
127	yanimda kal (turkey) (2018)	105.0	
