TITLE,Movie_ID,worldwide_box_office
bakha satang,1,76576.0
antitrust,2,17865209.0
santitos,3,
frank mcklusky c i,4,
a walk to remember,5,46060861.0
zig zag,6,
takht     siah,7,
angry monk  reflections on tibet  the,8,
30 years to life,9,
the killing of john lennon,10,
mad money,11,25044057.0
little chenier,12,
over her dead body,13,21596074.0
o ano em que meus pais sa    ram de f    rias,14,2607117.0
120,15,1334204.0
the other boleyn girl,16,78269970.0
a lawyer walks into a bar,17,
la rondine,18,
jodaeiye nader az simin,19,24426169.0
pariah,20,
pariah,20,
war horse,21,156815529.0
habemus papam,22,10404075.0
ivan tsarevich i seryy volk,23,25047727.0
el sicario room 164,24,
extremely loud and incredibly close,25,55247881.0
angels crest,26,2037.0
paranormal xperience,27,2812739.0
the darkest hour,28,62831715.0
miss minoes,29,
we bought a zoo,30,118729073.0
minuscule   la vall    e des fourmis perdues,31,1058457.0
kiseki,32,912158.0
in the land of blood and honey,33,509193.0
prince of the himalayas,34,
don 2,35,34053090.0
we are the giant,36,
wang pai,37,4590000.0
the young kieslowski,38,
last cab to darwin,39,5821137.0
cong cong na nian,40,94036853.0
ghadi,41,70149.0
fair play,42,8747.0
meru,43,2350820.0
station to station,44,10530.0
karachi se lahore,45,17721.0
atrapa la bandera,46,21131406.0
alma,47,567607.0
boca juniors 3d  la pel    cula,48,2171383.0
life of josutty,49,7870.0
welcome to leith,50,36391.0
eso que llaman amor,51,231.0
the man who saved the world,52,2855.0
yuan ling ren ou,53,3590000.0
hip hop eration,54,6203.0
kleine ziege  sturer bock,55,67838.0
vesvese  cin tuzagi,56,15193.0
truth,57,6842580.0
truth,57,
geunomida,58,697826.0
wo shi zheng ren,59,31834305.0
sarancha,60,431000.0
h    mon,61,430568.0
dobbiamo parlare,62,583290.0
600 millas,63,284803.0
hot sugar s cold world,64,
hell   back,65,
rajini murugan,66,151741.0
une histoire de fou,67,314458.0
point break,68,126704591.0
desu n    to  light up the new world,69,18901839.0
disturbing the peace,70,
disturbing the peace,70,11227.0
star wars ep  vii  the force awakens,71,2064615817.0
doctor who  the power of the daleks,72,116162.0
le grand jeu,73,226708.0
bellas de noche,74,
the revenant,75,532938302.0
the revenant,75,
the unmarried wife,76,66140.0
sha mo zhi xin,77,49204.0
poveri ma ricchi,78,7259767.0
