title,international_box_office,domestic_box_office,worldwide_box_office,production_budget,normalized_title,Movie_ID
bakha satang,76576,,76576,,bakha satang,1
antitrust,6900000,10965209,17865209,30000000,antitrust,2
santitos,,378562,,,santitos,3
frank mcklusky c i,,,,,frank mcklusky c i,4
a walk to remember,4833792,41227069,46060861,11000000,a walk to remember,5
zig zag,,1649,,,zig zag,6
takht siah,,21324,,,takht siah,7
angry monk reflections on tibet the,,2125,,,angry monk reflections on tibet the,8
30 years to life,,99023,,,30 years to life,9
the killing of john lennon,,6975,,,the killing of john lennon,10
mad money,4375214,20668843,25044057,22000000,mad money,11
little chenier,,87939,,,little chenier,12
over her dead body,14025947,7570127,21596074,10000000,over her dead body,13
o ano em que meus pais sa ram de f rias,1800000,807117,2607117,,o ano em que meus pais sa ram de f rias,14
120,1334204,,1334204,,120,15
the other boleyn girl,51455013,26814957,78269970,40000000,the other boleyn girl,16
a lawyer walks into a bar,,5202,,,a lawyer walks into a bar,17
la rondine,,49088,,,la rondine,18
jodaeiye nader az simin,17327677,7098492,24426169,800000,jodaeiye nader az simin,19
pariah,,769552,,,pariah,20
war horse,76932170,79883359,156815529,70000000,war horse,21
habemus papam,9917173,486902,10404075,,habemus papam,22
ivan tsarevich i seryy volk,25047727,,25047727,,ivan tsarevich i seryy volk,23
el sicario room 164,,,,,el sicario room 164,24
extremely loud and incredibly close,23400000,31847881,55247881,40000000,extremely loud and incredibly close,25
angels crest,1205,832,2037,,angels crest,26
paranormal xperience,2812739,,2812739,,paranormal xperience,27
the darkest hour,41388221,21443494,62831715,34800000,the darkest hour,28
miss minoes,,10189,,,miss minoes,29
we bought a zoo,43104523,75624550,118729073,50000000,we bought a zoo,30
minuscule la vall e des fourmis perdues,1058457,,1058457,,minuscule la vall e des fourmis perdues,31
kiseki,766350,145808,912158,,kiseki,32
in the land of blood and honey,205316,303877,509193,13000000,in the land of blood and honey,33
prince of the himalayas,,9178,,,prince of the himalayas,34
don 2,30378610,3674480,34053090,,don 2,35
we are the giant,,1088,,,we are the giant,36
wang pai,4590000,,4590000,,wang pai,37
the young kieslowski,,,,,the young kieslowski,38
last cab to darwin,5786944,34193,5821137,,last cab to darwin,39
cong cong na nian,93470000,566853,94036853,,cong cong na nian,40
ghadi,70149,,70149,,ghadi,41
fair play,8747,,8747,,fair play,42
meru,16592,2334228,2350820,,meru,43
station to station,1036,9494,10530,,station to station,44
karachi se lahore,17721,,17721,1000000,karachi se lahore,45
atrapa la bandera,21131406,,21131406,,atrapa la bandera,46
alma,567607,,567607,,alma,47
boca juniors 3d la pel cula,2171383,,2171383,,boca juniors 3d la pel cula,48
life of josutty,7870,,7870,,life of josutty,49
welcome to leith,381,36010,36391,,welcome to leith,50
eso que llaman amor,231,,231,,eso que llaman amor,51
the man who saved the world,2855,,2855,,the man who saved the world,52
yuan ling ren ou,3590000,,3590000,,yuan ling ren ou,53
hip hop eration,6203,,6203,,hip hop eration,54
kleine ziege sturer bock,67838,,67838,,kleine ziege sturer bock,55
vesvese cin tuzagi,15193,,15193,,vesvese cin tuzagi,56
truth,4300726,2541854,6842580,9600000,truth,57
geunomida,697826,,697826,,geunomida,58
wo shi zheng ren,31424661,409644,31834305,,wo shi zheng ren,59
sarancha,431000,,431000,,sarancha,60
h mon,407320,23248,430568,,h mon,61
dobbiamo parlare,583290,,583290,,dobbiamo parlare,62
600 millas,284803,,284803,,600 millas,63
hot sugar s cold world,,,,,hot sugar s cold world,64
hell back,,157768,,,hell back,65
rajini murugan,151741,,151741,,rajini murugan,66
une histoire de fou,314458,,314458,,une histoire de fou,67
point break,97922110,28782481,126704591,100000000,point break,68
desu n to light up the new world,18901839,,18901839,,desu n to light up the new world,69
disturbing the peace,,25287,,,disturbing the peace,70
star wars ep vii the force awakens,1127953592,936662225,2064615817,306000000,star wars ep vii the force awakens,71
doctor who the power of the daleks,116162,,116162,,doctor who the power of the daleks,72
